Agent setting:  OrderedDict([('actor_critic_dim', 128), ('n_hidden', 1), ('pi_lr', 0.0001), ('qf_vf_lr', 0.0001), ('sample_for_eval', False), ('use_true_q', False), ('entropy_scale', 0.1), ('l_param', 6), ('N_param', 64), ('optim_type', 'wis'), ('q_update_type', 'sac'), ('use_replay', True), ('use_target', False), ('batch_size', 32), ('use_hard_policy', False), ('use_hard_value', False), ('n_action_points', 128)])
Num. Integration points: 3234
Start run at: 2020-10-13 01:35:05.194994

=== EVAL :: ep: 0, r: -0.9007142317288475, n_steps: 1000, elapsed: 00:00:02
Train:: ep: 0, r: -305.26320915959656, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 1, r: -277.62723753934443, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 2, r: -229.2224858875426, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 3, r: -213.819572668024, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 4, r: -198.17638580924796, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 5, r: -188.27852222809474, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 6, r: -145.0313570820834, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 7, r: -159.96389131106923, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 8, r: -130.17605407274274, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 9, r: -190.02143162140564, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 10, r: -194.6998832822867, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 11, r: -243.7840736496768, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 12, r: -166.34779788020725, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 13, r: -380.5646578408508, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 14, r: -140.0780349910666, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 15, r: -91.20413182159305, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 16, r: -134.67481919948958, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 17, r: -49.37168039701223, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 18, r: -234.58899412049738, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 19, r: -329.1878329473144, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 20, r: -141.17155219456032, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 21, r: -182.12262936890204, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 22, r: -169.6774162673054, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 23, r: -122.05788771527284, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 24, r: -212.2509525660571, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 25, r: -315.2507135064959, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 26, r: -190.84627929877766, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 27, r: -202.69277345582626, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 28, r: -363.6893817590335, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 29, r: -127.53405134799965, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 30, r: -366.2416570510575, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 31, r: -282.0548490754961, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 32, r: -300.2005409137048, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 33, r: -173.96020439864142, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 34, r: -304.30657106181854, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 35, r: -294.9046349621545, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 36, r: -261.1330860073958, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 37, r: -140.37122431429384, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 38, r: -326.0519474956843, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 39, r: -186.90314848856423, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 40, r: -413.49012049618364, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 41, r: -258.56982866452137, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 42, r: -156.19689412527833, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 43, r: -268.65158091756814, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 44, r: -246.29590855292025, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 45, r: -164.738907114697, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 46, r: -198.93405237228436, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 47, r: -244.1300911279319, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 48, r: -287.69520729682375, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 49, r: -293.76408573682284, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 50, r: -234.59319248570648, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 51, r: -217.88565893235273, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 52, r: -121.31780160730972, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 53, r: -148.14368115550548, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 54, r: -204.4898253146084, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 55, r: -20.43605812297958, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 56, r: -221.70817143077846, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 57, r: -225.48750964888112, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 58, r: -305.7123556322971, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 59, r: -99.32615901834032, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 60, r: -91.85840448224151, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 61, r: -208.6980291351108, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 62, r: -242.4546015320418, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 63, r: -144.91820196663306, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 64, r: -224.26676442793877, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 65, r: -105.42011452164853, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 66, r: -148.4482939371025, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 67, r: -156.60660377471518, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 68, r: -231.01101387739288, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 69, r: -204.659592907034, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 70, r: -198.77797088325278, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 71, r: -194.68408557875793, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 72, r: -183.02648936831423, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 73, r: -161.68585654556276, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 74, r: -89.82103131434486, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 75, r: -202.79755696099483, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 76, r: -158.42359604177517, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 77, r: -217.85336264962822, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 78, r: -248.45266009246615, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 79, r: -115.82221098853891, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 80, r: -215.84625425798362, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 81, r: -180.7779083799224, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 82, r: -281.699927868796, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 83, r: -186.508128259716, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 84, r: -239.5447099906704, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 85, r: -157.50185127150004, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 86, r: -185.41181788850187, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 87, r: -167.83769035740895, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 88, r: -106.95624377741312, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 89, r: -267.593735983659, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 90, r: -170.32154769747683, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 91, r: -74.30124237855355, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 92, r: -223.4075979189955, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 93, r: -240.9668226274132, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 94, r: -255.67969008076108, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 95, r: -128.03266131403782, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 96, r: -142.97830110527426, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 97, r: -169.3944260370188, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 98, r: -162.48918452323437, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 99, r: -211.6268051960591, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 100, r: -147.89045726842986, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 101, r: -31.683562895405842, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 102, r: -164.28991807461898, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 103, r: -202.27565034482177, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 104, r: 66.86019456091843, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 105, r: -204.48900096233936, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 106, r: -180.12958006276358, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 107, r: 252.9649627184836, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 108, r: 87.67790378435438, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 109, r: 263.5476119344267, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 110, r: -120.60886488988851, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 111, r: 134.39292303871213, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 112, r: 232.73392372444874, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 113, r: -131.9190649551636, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 114, r: 323.7304404308423, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 115, r: 202.6038339683594, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 116, r: 5.725314766376305, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 117, r: 65.56532923270981, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 118, r: -160.01523232711452, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 119, r: 218.50567447359464, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 120, r: 274.2719615418145, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 121, r: -63.49247886746252, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 122, r: -461.0725134762887, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 123, r: 316.8082171456421, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 124, r: 371.0385792057459, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 125, r: -112.82529936206312, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 126, r: -124.32723348144457, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 127, r: 245.8529102879563, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 128, r: -7.201880615353318, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 129, r: 412.4325226913535, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 130, r: 439.5854100132537, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 131, r: 240.82583898846897, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 132, r: 330.7932767863749, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 133, r: 170.4020028192192, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 134, r: -120.84096018005644, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 135, r: -325.4824969624046, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 136, r: 264.350185762285, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 137, r: -59.842874778939006, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 138, r: 166.80745803520207, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 139, r: 5.636259352333372, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 140, r: -130.8320308395086, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 141, r: 19.620888239526003, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 142, r: 156.33254353678421, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 143, r: 111.2031856817881, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 144, r: 221.10371542402254, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 145, r: 269.09472539311616, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 146, r: 341.941167680458, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 147, r: 228.0198065025614, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 148, r: 267.92505860354623, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 149, r: 288.96350556642, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 150, r: 135.88383693211517, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 151, r: 147.70116184862178, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 152, r: 103.16366319191634, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 153, r: 391.186809041505, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 154, r: 204.31920367603368, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 155, r: 375.02239800031, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 156, r: 318.587931926277, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 157, r: 376.0391176132776, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 158, r: 357.3304865772344, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 159, r: 397.87519152799325, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 160, r: 432.777823482459, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 161, r: 510.23570499736564, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 162, r: 548.1130833471377, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 163, r: 499.3699455380486, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 164, r: 401.0864722040869, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 165, r: 645.9697867368607, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 166, r: 641.5563997346561, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 167, r: 497.9995564297603, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 168, r: 795.9272913921058, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 169, r: 586.2989363111977, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 170, r: -109.25292754468127, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 171, r: 6.0797936564154975, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 172, r: 566.779554841258, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 173, r: 759.335789514601, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 174, r: 690.4417002122319, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 175, r: -5.068675599204843, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 176, r: 723.0315031655789, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 177, r: 779.6665207762331, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 178, r: 898.1296337963062, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 179, r: 815.0824045488857, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 180, r: 772.5009353629147, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 181, r: 696.3051016520573, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 182, r: 115.89046012458881, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 183, r: 877.4973302181166, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 184, r: 819.7866791886039, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 185, r: 514.4779148944, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 186, r: 595.0332346553287, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 187, r: 532.5534331817439, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 188, r: 814.5406954631188, n_steps: 1000, elapsed: 00:00:35
Train:: ep: 189, r: 1019.3249087258394, n_steps: 1000, elapsed: 00:00:35
