Agent setting:  OrderedDict([('actor_critic_dim', 128), ('n_hidden', 1), ('pi_lr', 0.01), ('qf_vf_lr', 1e-05), ('sample_for_eval', False), ('use_true_q', False), ('entropy_scale', 0.01), ('l_param', 6), ('N_param', 64), ('optim_type', 'll_multiple'), ('q_update_type', 'sac'), ('use_replay', True), ('use_target', False), ('batch_size', 32), ('use_baseline', True), ('use_hard_value', False), ('use_scaled_kl', False), ('n_action_points', 128)])
Start run at: 2020-10-13 06:35:38.549085

=== EVAL :: ep: 0, r: 3.3366390117299436, n_steps: 1000, elapsed: 00:00:02
Train:: ep: 0, r: -12.491971443223745, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 1, r: -16.661201780265294, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 2, r: 13.316512600855509, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 3, r: 22.075827153382644, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 4, r: 7.57517506099534, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 5, r: 20.46413299674333, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 6, r: 15.014438402049347, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 7, r: 20.371509290608717, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 8, r: 19.557146141745385, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 9, r: 20.104344312681228, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 10, r: 18.754873888604255, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 11, r: 24.05659669810943, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 12, r: 7.303238819179425, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 13, r: 16.71984474164575, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 14, r: 13.702456176365075, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 15, r: 14.816711593609373, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 16, r: 8.886821184730536, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 17, r: 6.517842428371933, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 18, r: 20.316816876433027, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 19, r: 2.0973896067919284, n_steps: 1000, elapsed: 00:00:36
Train:: ep: 20, r: 12.445974280354038, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 21, r: -17.771532682112866, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 22, r: 16.460097973789058, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 23, r: 23.241294997273357, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 24, r: 22.454573791485032, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 25, r: 26.61050778881147, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 26, r: 33.73525526831989, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 27, r: 22.379650309192886, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 28, r: -43.53520670195029, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 29, r: -31.906026522116928, n_steps: 1000, elapsed: 00:00:34
Train:: ep: 30, r: -2.384777694666178, n_steps: 1000, elapsed: 00:00:33
Train:: ep: 31, r: 41.740407009840474, n_steps: 1000, elapsed: 00:00:34
