Agent setting:  OrderedDict([('actor_critic_dim', 128), ('n_hidden', 1), ('pi_lr', 0.001), ('qf_vf_lr', 0.0001), ('sample_for_eval', False), ('use_true_q', False), ('entropy_scale', 0.01), ('l_param', 6), ('N_param', 64), ('optim_type', 'll_multiple'), ('q_update_type', 'sac'), ('use_replay', True), ('use_target', False), ('batch_size', 32), ('use_baseline', True), ('use_hard_value', False), ('use_scaled_kl', False), ('n_action_points', 128)])
Start run at: 2020-10-13 06:54:18.653710

=== EVAL :: ep: 0, r: -0.9030175291941848, n_steps: 1000, elapsed: 00:00:02
Train:: ep: 0, r: -455.489507380545, n_steps: 1000, elapsed: 00:00:33
Train:: ep: 1, r: -482.1662804331265, n_steps: 1000, elapsed: 00:00:33
Train:: ep: 2, r: -562.9438824394972, n_steps: 1000, elapsed: 00:00:33
Train:: ep: 3, r: -673.1950509436692, n_steps: 1000, elapsed: 00:00:33
Train:: ep: 4, r: -477.3248630833077, n_steps: 1000, elapsed: 00:00:32
Train:: ep: 5, r: -585.7473893951992, n_steps: 1000, elapsed: 00:00:33
Train:: ep: 6, r: -394.20968251081416, n_steps: 1000, elapsed: 00:00:33
Train:: ep: 7, r: -626.0759772370769, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 8, r: -517.7718969004801, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 9, r: -142.05997931157978, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 10, r: -475.2985356983809, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 11, r: -371.8869178114076, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 12, r: -433.6575152065135, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 13, r: -525.834749661126, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 14, r: -586.1012625457018, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 15, r: -325.9812295492196, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 16, r: -334.681724534578, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 17, r: -37.21692588399511, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 18, r: -167.39772100892748, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 19, r: -257.85981928253585, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 20, r: -318.24130327947825, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 21, r: -277.3743554145606, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 22, r: -379.32121384385357, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 23, r: -412.3020799568728, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 24, r: -337.04308282814776, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 25, r: -374.53556551900726, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 26, r: -476.8455265088487, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 27, r: -310.9170977117731, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 28, r: -500.78885731959843, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 29, r: -496.8974230587288, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 30, r: -575.7339666212335, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 31, r: -350.9430321902091, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 32, r: -474.1607602550701, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 33, r: -518.8794842574177, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 34, r: -468.80014639140984, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 35, r: -670.8362666914476, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 36, r: -172.18488572105048, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 37, r: -288.6105460151, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 38, r: -242.29453989877192, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 39, r: -114.89430289955014, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 40, r: -203.0572271067296, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 41, r: -466.25554547972945, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 42, r: -46.76527511205073, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 43, r: -355.63915357238534, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 44, r: -66.98282350758979, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 45, r: -79.6982334487611, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 46, r: -54.591005834075695, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 47, r: -404.94428101147025, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 48, r: -1.458312520386658, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 49, r: -49.57875037221121, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 50, r: -55.91890330527049, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 51, r: -7.790272403138392, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 52, r: 86.18450084158688, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 53, r: 91.20169985265862, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 54, r: -213.67460940963474, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 55, r: 65.79562476816038, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 56, r: 65.28837344602239, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 57, r: 82.24353989627073, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 58, r: 218.65639814638627, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 59, r: 209.4156933894575, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 60, r: 194.6998641866749, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 61, r: 287.2954590762231, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 62, r: -514.3179578030397, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 63, r: 245.6552869239223, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 64, r: 234.18564321338562, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 65, r: 321.4282165479032, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 66, r: 247.50728480608072, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 67, r: 281.9935921171615, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 68, r: 258.87738533245295, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 69, r: 323.9937653196188, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 70, r: 350.57382336203136, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 71, r: 343.08130228089925, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 72, r: 324.1647631434039, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 73, r: 344.8087294570922, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 74, r: 327.11949594699513, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 75, r: 370.48720406528673, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 76, r: 397.2874632041648, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 77, r: 416.84404920935054, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 78, r: 531.7638913750408, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 79, r: 559.2058504605296, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 80, r: 538.977175651821, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 81, r: 674.0109774834189, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 82, r: 717.1090863650126, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 83, r: 910.7481288887456, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 84, r: 993.5315850491792, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 85, r: 1162.700633121353, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 86, r: 1147.8745382919178, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 87, r: 1189.024362856626, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 88, r: 1249.6214376016028, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 89, r: 1186.806015680667, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 90, r: 1224.147399196109, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 91, r: 1245.687820290856, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 92, r: 1174.5754267224654, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 93, r: 1200.654397064751, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 94, r: 1292.0472507288532, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 95, r: 1283.9698420022548, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 96, r: 1358.075356534874, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 97, r: 1315.5384541249164, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 98, r: 1322.7524586057289, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 99, r: 1293.1689105569994, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 100, r: 1333.7260624726528, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 101, r: 1335.0796512140228, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 102, r: 1324.676181227147, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 103, r: 1338.745239745916, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 104, r: 1282.972705202963, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 105, r: 1274.9866406418455, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 106, r: 1025.5341235552082, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 107, r: 932.2450543768108, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 108, r: 699.3494033869309, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 109, r: 636.3063411024178, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 110, r: 13.209986313159074, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 111, r: 229.36821011262776, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 112, r: 125.32314782230945, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 113, r: 8.094138762270417, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 114, r: 257.39296316910196, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 115, r: 160.03676027960358, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 116, r: -3.713895018732853, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 117, r: 36.38564496939038, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 118, r: -72.30076066902501, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 119, r: -351.5364818261702, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 120, r: -467.7920829371312, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 121, r: -436.53547874157925, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 122, r: -197.56389844290646, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 123, r: -141.79752354273924, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 124, r: -523.5024206333494, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 125, r: -705.516025986156, n_steps: 1000, elapsed: 00:00:30
Train:: ep: 126, r: -322.9563286911729, n_steps: 1000, elapsed: 00:00:29
Train:: ep: 127, r: -573.6930312729074, n_steps: 1000, elapsed: 00:00:30
