Agent setting:  OrderedDict([('actor_critic_dim', 128), ('n_hidden', 1), ('pi_lr', 0.001), ('qf_vf_lr', 0.0001), ('sample_for_eval', False), ('use_true_q', False), ('entropy_scale', 0.05), ('l_param', 6), ('N_param', 64), ('optim_type', 'wis'), ('q_update_type', 'sac'), ('use_replay', True), ('use_target', False), ('batch_size', 32), ('use_hard_policy', False), ('use_hard_value', False), ('n_action_points', 128)])
Num. Integration points: 187
Start run at: 2020-10-14 13:12:41.886214

=== EVAL :: ep: 0, r: -18.92101026382486, n_steps: 50, elapsed: 00:00:00
Train:: ep: 0, r: -41.85146243007967, n_steps: 50, elapsed: 00:00:03
Train:: ep: 1, r: -50.372174638040605, n_steps: 50, elapsed: 00:00:01
Train:: ep: 2, r: -59.15598393352322, n_steps: 50, elapsed: 00:00:01
Train:: ep: 3, r: -45.21133289695754, n_steps: 50, elapsed: 00:00:01
Train:: ep: 4, r: -42.9254259711816, n_steps: 50, elapsed: 00:00:01
Train:: ep: 5, r: -42.99144375041591, n_steps: 50, elapsed: 00:00:01
Train:: ep: 6, r: -46.08850678971445, n_steps: 50, elapsed: 00:00:01
Train:: ep: 7, r: -43.48927649052958, n_steps: 50, elapsed: 00:00:01
Train:: ep: 8, r: -45.933806893684114, n_steps: 50, elapsed: 00:00:01
Train:: ep: 9, r: -41.10205700241182, n_steps: 50, elapsed: 00:00:01
Train:: ep: 10, r: -31.97018526178773, n_steps: 50, elapsed: 00:00:01
Train:: ep: 11, r: -42.45302167481208, n_steps: 50, elapsed: 00:00:01
Train:: ep: 12, r: -38.94761746430102, n_steps: 50, elapsed: 00:00:01
Train:: ep: 13, r: -30.99540926295478, n_steps: 50, elapsed: 00:00:01
Train:: ep: 14, r: -31.30087235217865, n_steps: 50, elapsed: 00:00:01
Train:: ep: 15, r: -30.988862656547152, n_steps: 50, elapsed: 00:00:01
Train:: ep: 16, r: -40.22483167697305, n_steps: 50, elapsed: 00:00:01
Train:: ep: 17, r: -31.91629977458289, n_steps: 50, elapsed: 00:00:01
Train:: ep: 18, r: -37.10098456079565, n_steps: 50, elapsed: 00:00:01
Train:: ep: 19, r: -39.2266581951675, n_steps: 50, elapsed: 00:00:01
Train:: ep: 20, r: -27.38258771180747, n_steps: 50, elapsed: 00:00:01
Train:: ep: 21, r: -29.374246086567062, n_steps: 50, elapsed: 00:00:01
Train:: ep: 22, r: -40.131380567838505, n_steps: 50, elapsed: 00:00:01
Train:: ep: 23, r: -33.491513068883656, n_steps: 50, elapsed: 00:00:01
Train:: ep: 24, r: -27.08148952110048, n_steps: 50, elapsed: 00:00:01
Train:: ep: 25, r: -30.95029235759117, n_steps: 50, elapsed: 00:00:01
Train:: ep: 26, r: -38.94159025564025, n_steps: 50, elapsed: 00:00:01
Train:: ep: 27, r: -33.38075887546441, n_steps: 50, elapsed: 00:00:01
Train:: ep: 28, r: -32.75874038109124, n_steps: 50, elapsed: 00:00:01
Train:: ep: 29, r: -29.28571261413119, n_steps: 50, elapsed: 00:00:01
Train:: ep: 30, r: -33.70932432192745, n_steps: 50, elapsed: 00:00:01
Train:: ep: 31, r: -33.24768638697767, n_steps: 50, elapsed: 00:00:01
Train:: ep: 32, r: -34.05776720116273, n_steps: 50, elapsed: 00:00:01
Train:: ep: 33, r: -29.340140350780672, n_steps: 50, elapsed: 00:00:01
Train:: ep: 34, r: -31.780230320571853, n_steps: 50, elapsed: 00:00:01
Train:: ep: 35, r: -29.608843601160608, n_steps: 50, elapsed: 00:00:01
Train:: ep: 36, r: -33.45350072655083, n_steps: 50, elapsed: 00:00:01
Train:: ep: 37, r: -39.03915307977607, n_steps: 50, elapsed: 00:00:01
Train:: ep: 38, r: -35.12506712541123, n_steps: 50, elapsed: 00:00:01
Train:: ep: 39, r: -41.19437967284193, n_steps: 50, elapsed: 00:00:01
Train:: ep: 40, r: -38.34369681929925, n_steps: 50, elapsed: 00:00:01
Train:: ep: 41, r: -30.178835143062972, n_steps: 50, elapsed: 00:00:01
Train:: ep: 42, r: -36.84352817423369, n_steps: 50, elapsed: 00:00:01
Train:: ep: 43, r: -34.66832761589051, n_steps: 50, elapsed: 00:00:01
Train:: ep: 44, r: -33.80931191753147, n_steps: 50, elapsed: 00:00:01
Train:: ep: 45, r: -35.312447216795405, n_steps: 50, elapsed: 00:00:01
Train:: ep: 46, r: -33.13637190203297, n_steps: 50, elapsed: 00:00:01
Train:: ep: 47, r: -40.346304953287024, n_steps: 50, elapsed: 00:00:01
Train:: ep: 48, r: -37.85769317460583, n_steps: 50, elapsed: 00:00:01
Train:: ep: 49, r: -39.03009137226812, n_steps: 50, elapsed: 00:00:01
Train:: ep: 50, r: -42.23373721884976, n_steps: 50, elapsed: 00:00:01
Train:: ep: 51, r: -39.06083324562585, n_steps: 50, elapsed: 00:00:01
Train:: ep: 52, r: -39.58660782518333, n_steps: 50, elapsed: 00:00:01
Train:: ep: 53, r: -34.61561177386162, n_steps: 50, elapsed: 00:00:01
Train:: ep: 54, r: -39.83246525646135, n_steps: 50, elapsed: 00:00:01
Train:: ep: 55, r: -45.91715238745274, n_steps: 50, elapsed: 00:00:01
Train:: ep: 56, r: -47.76302637364221, n_steps: 50, elapsed: 00:00:01
Train:: ep: 57, r: -43.00293186540453, n_steps: 50, elapsed: 00:00:01
Train:: ep: 58, r: -38.019636153203194, n_steps: 50, elapsed: 00:00:01
Train:: ep: 59, r: -45.38354385423243, n_steps: 50, elapsed: 00:00:01
Train:: ep: 60, r: -37.33816196079569, n_steps: 50, elapsed: 00:00:01
Train:: ep: 61, r: -39.81668712859423, n_steps: 50, elapsed: 00:00:01
Train:: ep: 62, r: -38.54740369383244, n_steps: 50, elapsed: 00:00:01
Train:: ep: 63, r: -24.11058626063692, n_steps: 50, elapsed: 00:00:01
Train:: ep: 64, r: -28.289025119174482, n_steps: 50, elapsed: 00:00:01
Train:: ep: 65, r: -20.522219602632447, n_steps: 50, elapsed: 00:00:01
Train:: ep: 66, r: -21.071173277052353, n_steps: 50, elapsed: 00:00:01
Train:: ep: 67, r: -27.371145183544613, n_steps: 50, elapsed: 00:00:01
Train:: ep: 68, r: -21.99910309807306, n_steps: 50, elapsed: 00:00:01
Train:: ep: 69, r: -17.331845947371374, n_steps: 50, elapsed: 00:00:01
Train:: ep: 70, r: -16.424053014942782, n_steps: 50, elapsed: 00:00:01
Train:: ep: 71, r: -17.663770076020935, n_steps: 50, elapsed: 00:00:01
Train:: ep: 72, r: -23.217191376829206, n_steps: 50, elapsed: 00:00:01
Train:: ep: 73, r: -22.77200159297357, n_steps: 50, elapsed: 00:00:01
Train:: ep: 74, r: -25.982977417960843, n_steps: 50, elapsed: 00:00:01
Train:: ep: 75, r: -28.44202635303422, n_steps: 50, elapsed: 00:00:01
Train:: ep: 76, r: -24.25783019020964, n_steps: 50, elapsed: 00:00:01
Train:: ep: 77, r: -20.088793168257137, n_steps: 50, elapsed: 00:00:01
Train:: ep: 78, r: -22.9979086782001, n_steps: 50, elapsed: 00:00:01
Train:: ep: 79, r: -24.70458635465223, n_steps: 50, elapsed: 00:00:01
Train:: ep: 80, r: -49.141138449285584, n_steps: 50, elapsed: 00:00:01
Train:: ep: 81, r: -52.10609040137452, n_steps: 50, elapsed: 00:00:01
Train:: ep: 82, r: -52.04544618024801, n_steps: 50, elapsed: 00:00:01
Train:: ep: 83, r: -50.81535176369436, n_steps: 50, elapsed: 00:00:01
Train:: ep: 84, r: -62.946717077413325, n_steps: 50, elapsed: 00:00:01
Train:: ep: 85, r: -53.049592303699306, n_steps: 50, elapsed: 00:00:01
Train:: ep: 86, r: -53.20074924801422, n_steps: 50, elapsed: 00:00:01
Train:: ep: 87, r: -48.90221445229173, n_steps: 50, elapsed: 00:00:01
Train:: ep: 88, r: -53.81841916329362, n_steps: 50, elapsed: 00:00:01
Train:: ep: 89, r: -44.620535716230336, n_steps: 50, elapsed: 00:00:01
Train:: ep: 90, r: -39.68736391846836, n_steps: 50, elapsed: 00:00:01
Train:: ep: 91, r: -42.02981576969345, n_steps: 50, elapsed: 00:00:01
Train:: ep: 92, r: -41.108006167193786, n_steps: 50, elapsed: 00:00:01
Train:: ep: 93, r: -51.838005888630775, n_steps: 50, elapsed: 00:00:01
Train:: ep: 94, r: -43.76664138782489, n_steps: 50, elapsed: 00:00:01
Train:: ep: 95, r: -41.60843419331024, n_steps: 50, elapsed: 00:00:01
Train:: ep: 96, r: -40.133490663557545, n_steps: 50, elapsed: 00:00:01
Train:: ep: 97, r: -34.136324693899844, n_steps: 50, elapsed: 00:00:01
Train:: ep: 98, r: -34.42641848134997, n_steps: 50, elapsed: 00:00:01
Train:: ep: 99, r: -32.10389731272263, n_steps: 50, elapsed: 00:00:01
Train:: ep: 100, r: -23.724678606956427, n_steps: 50, elapsed: 00:00:01
Train:: ep: 101, r: -23.74587990100405, n_steps: 50, elapsed: 00:00:01
Train:: ep: 102, r: -20.40876684533297, n_steps: 50, elapsed: 00:00:01
Train:: ep: 103, r: -20.326249612951255, n_steps: 50, elapsed: 00:00:01
Train:: ep: 104, r: -17.17849244618598, n_steps: 50, elapsed: 00:00:01
Train:: ep: 105, r: -24.8387600838048, n_steps: 50, elapsed: 00:00:01
Train:: ep: 106, r: -23.925454295173566, n_steps: 50, elapsed: 00:00:01
Train:: ep: 107, r: -21.214240486083444, n_steps: 50, elapsed: 00:00:01
Train:: ep: 108, r: -24.60607311408456, n_steps: 50, elapsed: 00:00:01
Train:: ep: 109, r: -22.551632819659314, n_steps: 50, elapsed: 00:00:01
Train:: ep: 110, r: -21.834475443773822, n_steps: 50, elapsed: 00:00:01
Train:: ep: 111, r: -23.764117522201836, n_steps: 50, elapsed: 00:00:01
Train:: ep: 112, r: -18.54991477460368, n_steps: 50, elapsed: 00:00:01
Train:: ep: 113, r: -17.549503431781634, n_steps: 50, elapsed: 00:00:01
Train:: ep: 114, r: -25.724052676143046, n_steps: 50, elapsed: 00:00:01
Train:: ep: 115, r: -16.990993124697894, n_steps: 50, elapsed: 00:00:01
Train:: ep: 116, r: -20.713233715655814, n_steps: 50, elapsed: 00:00:01
Train:: ep: 117, r: -20.316558515281415, n_steps: 50, elapsed: 00:00:01
Train:: ep: 118, r: -19.863396277998852, n_steps: 50, elapsed: 00:00:01
Train:: ep: 119, r: -21.912978703583, n_steps: 50, elapsed: 00:00:01
Train:: ep: 120, r: -20.64906075749185, n_steps: 50, elapsed: 00:00:01
Train:: ep: 121, r: -17.83787125462861, n_steps: 50, elapsed: 00:00:01
Train:: ep: 122, r: -19.187654465776596, n_steps: 50, elapsed: 00:00:01
Train:: ep: 123, r: -16.74990542250855, n_steps: 50, elapsed: 00:00:01
Train:: ep: 124, r: -14.984985740751618, n_steps: 50, elapsed: 00:00:01
Train:: ep: 125, r: -15.077944812107368, n_steps: 50, elapsed: 00:00:01
Train:: ep: 126, r: -18.260209528339505, n_steps: 50, elapsed: 00:00:01
Train:: ep: 127, r: -16.149024935918444, n_steps: 50, elapsed: 00:00:01
Train:: ep: 128, r: -16.92533211342165, n_steps: 50, elapsed: 00:00:01
Train:: ep: 129, r: -22.074935192323636, n_steps: 50, elapsed: 00:00:01
Train:: ep: 130, r: -14.56938107839866, n_steps: 50, elapsed: 00:00:01
Train:: ep: 131, r: -17.779695333578275, n_steps: 50, elapsed: 00:00:01
