Agent setting:  OrderedDict([('actor_critic_dim', 128), ('n_hidden', 1), ('pi_lr', 0.001), ('qf_vf_lr', 1e-05), ('sample_for_eval', False), ('use_true_q', False), ('entropy_scale', 0.01), ('l_param', 6), ('N_param', 64), ('optim_type', 'wis'), ('q_update_type', 'sac'), ('use_replay', True), ('use_target', False), ('batch_size', 32), ('use_hard_policy', False), ('use_hard_value', False), ('n_action_points', 128)])
Num. Integration points: 187
Start run at: 2020-10-13 01:35:04.242476

=== EVAL :: ep: 0, r: 1.076507878114432, n_steps: 1000, elapsed: 00:00:02
Train:: ep: 0, r: 33.022032066017545, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 1, r: 13.390896222487081, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 2, r: -14.876027203705622, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 3, r: -17.867101116332417, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 4, r: -21.72171238148838, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 5, r: -12.636642767839662, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 6, r: 13.865419045247888, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 7, r: -19.188246167671547, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 8, r: 15.249321160678539, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 9, r: 13.316877488239214, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 10, r: 13.583326554578255, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 11, r: 1.2670350121158043, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 12, r: -20.299164178469667, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 13, r: -21.839002973341824, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 14, r: -19.6212216552138, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 15, r: -11.271660250059135, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 16, r: -9.430869598036068, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 17, r: -5.442777263891063, n_steps: 1000, elapsed: 00:00:37
Train:: ep: 18, r: 13.70770243353939, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 19, r: 16.846315838720464, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 20, r: 29.19115419451938, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 21, r: 51.37391485737891, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 22, r: 55.13328208836274, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 23, r: 51.05686794180645, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 24, r: 56.26546170243251, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 25, r: 47.555588097721795, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 26, r: 33.69027911375041, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 27, r: 29.34556937845338, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 28, r: 23.27013193556941, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 29, r: 24.24669389024519, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 30, r: 24.584394639422637, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 31, r: 31.01334013141011, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 32, r: 30.815319089311654, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 33, r: 27.28527567005044, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 34, r: 16.724437968009756, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 35, r: -0.5045665341501134, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 36, r: 8.129624111757984, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 37, r: 18.354421659580762, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 38, r: 26.173962981021585, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 39, r: 24.10501238308889, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 40, r: 24.63155398326256, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 41, r: 30.65789814419627, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 42, r: 30.261045196189293, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 43, r: 34.079523450304585, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 44, r: 34.720892034859936, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 45, r: -13.735359104083273, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 46, r: 29.47321973681338, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 47, r: 5.145884726136972, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 48, r: 15.139093786828033, n_steps: 1000, elapsed: 00:00:39
Train:: ep: 49, r: 16.86587676929421, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 50, r: 20.37328106635993, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 51, r: 18.929566916608255, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 52, r: 14.222976050929558, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 53, r: 23.463663759551352, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 54, r: 22.92630636909918, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 55, r: 22.94672160631665, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 56, r: 7.495165078247719, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 57, r: 7.837868162507895, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 58, r: 1.5122637946141426, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 59, r: 17.382819726096177, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 60, r: 11.588562744144037, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 61, r: 23.057833207889047, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 62, r: 20.207303261631633, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 63, r: 18.821034910700345, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 64, r: 17.330535243466567, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 65, r: 18.057641075809325, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 66, r: 16.17712486060854, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 67, r: 25.112619250184167, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 68, r: 31.537001515745935, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 69, r: 30.826883145991346, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 70, r: 33.24272861756899, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 71, r: 31.8781641172505, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 72, r: 31.991461884901277, n_steps: 1000, elapsed: 00:00:38
Train:: ep: 73, r: 30.48426429081636, n_steps: 1000, elapsed: 00:00:38
