Agent setting:  OrderedDict([('actor_critic_dim', 128), ('n_hidden', 1), ('pi_lr', 1e-05), ('qf_vf_lr', 0.001), ('sample_for_eval', False), ('use_true_q', False), ('entropy_scale', 0.1), ('l_param', 6), ('N_param', 64), ('optim_type', 'll_multiple'), ('q_update_type', 'sac'), ('use_replay', True), ('use_target', False), ('batch_size', 32), ('use_baseline', True), ('use_hard_value', False), ('use_scaled_kl', False), ('n_action_points', 128)])
Start run at: 2020-10-14 13:12:42.380895

=== EVAL :: ep: 0, r: -0.8817090931336448, n_steps: 1000, elapsed: 00:00:01
Train:: ep: 0, r: -297.8550875266232, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 1, r: -241.73000093946254, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 2, r: -254.7151153687969, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 3, r: -228.37004724848575, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 4, r: -254.58989796693203, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 5, r: -250.60407759008578, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 6, r: -323.9015400151533, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 7, r: -244.96289200713053, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 8, r: -244.616398692689, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 9, r: -352.1991128084146, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 10, r: -267.32492524109887, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 11, r: -310.44570249927915, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 12, r: -189.3034168448014, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 13, r: -130.33460867084668, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 14, r: -240.1732294986577, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 15, r: -284.7843011018431, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 16, r: -293.4590817655078, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 17, r: 9.11696290512656, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 18, r: -229.14661300989317, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 19, r: 9.884856123926339, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 20, r: -115.20636767851808, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 21, r: -17.94346269654584, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 22, r: 35.276654825560954, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 23, r: -78.45944792873865, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 24, r: -245.41801455618565, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 25, r: -316.67429283202637, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 26, r: -431.9038770429026, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 27, r: -86.45385463572521, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 28, r: 62.25523465497578, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 29, r: 47.361449593380975, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 30, r: 39.298645553572804, n_steps: 1000, elapsed: 00:00:27
Train:: ep: 31, r: 60.73620929038251, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 32, r: -45.976259618424734, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 33, r: 9.76125683087382, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 34, r: 114.6119107420317, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 35, r: -26.628273972452163, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 36, r: 107.68042344071647, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 37, r: -153.46664483898985, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 38, r: 126.64709231042592, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 39, r: -380.6396555783025, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 40, r: 240.8430960603008, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 41, r: 86.96433435930409, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 42, r: 151.28537699728918, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 43, r: 121.81424674559793, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 44, r: 214.40205959499193, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 45, r: 27.325001052886943, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 46, r: -308.10919397513965, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 47, r: -269.1189533918842, n_steps: 1000, elapsed: 00:00:28
Train:: ep: 48, r: -280.9003393237385, n_steps: 1000, elapsed: 00:00:28
